case_id,title,publisher,source_type,publication_date,geography,url
AU-2026-01-21-CLOSINGGAP,Closing the Gap in Schooling and Early Childhood Development — Partnership and Reporting,Australian National Audit Office (ANAO),Performance audit report,2026-01-21,Australia,https://www.anao.gov.au/work/performance-audit/closing-the-gap-schooling-and-early-childhood-development-partnership-and-reporting
NZ-2026-03-12-CHATHAM,Chatham Islands Council: Inquiry into sensitive expenditure and procurement,Office of the Auditor-General New Zealand,Inquiry report,2026-03-12,New Zealand,https://oag.parliament.nz/2026/chatham-islands
IN-2026-03-23-DELHI-UNIVERSITIES,Performance Audit on Functioning of Universities of GNCTD (Report 4 of 2025),Comptroller and Auditor General of India,Performance audit report,2026-03-23,India,https://cag.gov.in/ag/new-delhi/en/audit-report
ZA-2026-03-26-AGSA-PFMA,2024-25 National and Provincial Government Audit Outcomes,Auditor-General South Africa,General audit report / media release,2026-03-26,South Africa,https://www.agsa.co.za/Reporting/PFMAReports/PFMA2024-25.aspx
EU-2026-03-XX-SERVICES,Special Report 13/2026: Single market for services,European Court of Auditors,Special report,2026-03-??,European Union,https://www.eca.europa.eu/ECAPublications/SR-2026-13/SR-2026-13_EN.pdf
